program,tm_start,tm_end
도전1000곡,2006-01-01T08:22:00Z,2006-01-01T09:37:28Z
도전1000곡,2006-01-08T08:29:26Z,2006-01-08T09:36:29Z
도전1000곡,2006-01-15T08:30:28Z,2006-01-15T09:37:17Z
도전1000곡,2006-01-22T08:29:07Z,2006-01-22T09:35:27Z
도전1000곡,2006-01-29T07:53:44Z,2006-01-29T09:32:18Z
도전1000곡,2006-02-05T08:30:19Z,2006-02-05T09:38:19Z
도전1000곡,2006-02-26T08:34:24Z,2006-02-26T09:41:55Z
도전1000곡,2006-03-05T08:30:39Z,2006-03-05T09:37:53Z
도전1000곡,2006-03-12T08:29:58Z,2006-03-12T09:37:29Z
도전1000곡,2006-03-19T08:26:27Z,2006-03-19T09:33:30Z
도전1000곡,2006-03-26T08:29:47Z,2006-03-26T09:37:12Z
도전1000곡,2006-04-02T08:31:52Z,2006-04-02T09:39:26Z
도전1000곡,2006-04-09T08:49:25Z,2006-04-09T09:57:12Z
도전1000곡,2006-04-16T08:30:37Z,2006-04-16T09:37:57Z
도전1000곡,2006-04-23T08:30:45Z,2006-04-23T09:38:11Z
도전1000곡,2006-04-30T08:30:29Z,2006-04-30T09:37:02Z
도전1000곡,2006-05-07T08:32:55Z,2006-05-07T09:40:37Z
도전1000곡,2006-05-14T08:31:42Z,2006-05-14T09:39:23Z
도전1000곡,2006-05-21T08:29:49Z,2006-05-21T09:36:33Z
도전1000곡,2006-05-28T08:30:06Z,2006-05-28T09:37:18Z
도전1000곡,2006-06-04T08:28:34Z,2006-06-04T09:35:27Z
도전1000곡,2006-06-11T08:31:37Z,2006-06-11T09:39:36Z
도전1000곡,2006-06-18T08:29:56Z,2006-06-18T09:36:59Z
도전1000곡,2006-06-25T08:30:03Z,2006-06-25T09:37:42Z
도전1000곡,2006-07-02T08:31:19Z,2006-07-02T09:37:23Z
도전1000곡,2006-07-09T08:29:47Z,2006-07-09T09:35:43Z
도전1000곡,2006-07-16T08:23:39Z,2006-07-16T09:30:11Z
도전1000곡,2006-07-23T08:31:06Z,2006-07-23T09:38:43Z
도전1000곡,2006-07-30T08:30:09Z,2006-07-30T09:37:14Z
도전1000곡,2006-08-06T08:33:03Z,2006-08-06T09:40:35Z
도전1000곡,2006-08-13T08:32:21Z,2006-08-13T09:38:30Z
도전1000곡,2006-08-20T08:33:17Z,2006-08-20T09:40:23Z
도전1000곡,2006-08-27T08:30:41Z,2006-08-27T09:38:55Z
도전1000곡,2006-09-03T08:31:24Z,2006-09-03T09:40:07Z
도전1000곡,2006-09-10T08:32:29Z,2006-09-10T09:39:12Z
도전1000곡,2006-09-17T08:33:18Z,2006-09-17T09:41:20Z
도전1000곡,2006-09-24T08:33:47Z,2006-09-24T09:41:01Z
도전1000곡,2006-10-01T08:31:54Z,2006-10-01T09:39:27Z
도전1000곡,2006-10-15T08:33:24Z,2006-10-15T09:42:23Z
도전1000곡,2006-10-22T08:32:24Z,2006-10-22T09:40:39Z
도전1000곡,2006-10-29T08:32:34Z,2006-10-29T09:40:18Z
도전1000곡,2006-11-05T08:29:48Z,2006-11-05T09:36:59Z
도전1000곡,2006-11-12T08:27:03Z,2006-11-12T09:35:13Z
도전1000곡,2006-11-19T08:31:12Z,2006-11-19T09:38:54Z
도전1000곡,2006-11-26T08:29:42Z,2006-11-26T09:37:39Z
도전1000곡,2006-12-03T08:31:28Z,2006-12-03T09:38:24Z
도전1000곡,2006-12-10T08:30:34Z,2006-12-10T09:38:06Z
도전1000곡,2006-12-17T08:37:17Z,2006-12-17T09:45:14Z
도전1000곡,2006-12-24T08:28:35Z,2006-12-24T09:37:17Z
도전1000곡,2006-12-31T08:33:06Z,2006-12-31T09:41:38Z
도전1000곡,2007-01-07T08:32:59Z,2007-01-07T09:40:09Z
도전1000곡,2007-01-14T08:30:31Z,2007-01-14T09:37:07Z
도전1000곡,2007-01-21T08:31:31Z,2007-01-21T09:38:27Z
도전1000곡,2007-01-28T08:30:26Z,2007-01-28T09:38:07Z
도전1000곡,2007-02-04T08:32:26Z,2007-02-04T09:39:28Z
도전1000곡,2007-02-11T08:30:03Z,2007-02-11T09:36:53Z
도전1000곡,2007-02-25T08:29:49Z,2007-02-25T09:37:58Z
도전1000곡,2007-03-04T08:32:32Z,2007-03-04T09:38:43Z
도전1000곡,2007-03-11T08:29:51Z,2007-03-11T09:37:49Z
도전1000곡,2007-03-18T08:30:18Z,2007-03-18T09:37:09Z
도전1000곡,2007-03-25T08:29:48Z,2007-03-25T09:38:04Z
도전1000곡,2007-04-01T08:29:06Z,2007-04-01T09:40:09Z
도전1000곡,2007-04-08T08:30:14Z,2007-04-08T09:36:43Z
도전1000곡,2007-04-15T08:32:43Z,2007-04-15T09:39:46Z
도전1000곡,2007-04-22T08:29:19Z,2007-04-22T09:37:32Z
도전1000곡,2007-04-29T08:30:27Z,2007-04-29T09:37:45Z
도전1000곡,2007-05-06T08:30:34Z,2007-05-06T09:37:58Z
도전1000곡,2007-05-13T08:31:14Z,2007-05-13T09:38:26Z
도전1000곡,2007-05-20T08:30:04Z,2007-05-20T09:36:52Z
도전1000곡,2007-05-27T08:28:47Z,2007-05-27T09:36:07Z
도전1000곡,2007-06-03T08:30:12Z,2007-06-03T09:37:08Z
도전1000곡,2007-06-10T08:47:45Z,2007-06-10T09:54:28Z
도전1000곡,2007-06-17T08:19:01Z,2007-06-17T09:25:12Z
도전1000곡,2007-06-24T08:19:33Z,2007-06-24T09:25:23Z
도전1000곡,2007-07-01T08:26:54Z,2007-07-01T09:34:36Z
도전1000곡,2007-07-08T08:13:56Z,2007-07-08T09:30:06Z
도전1000곡,2007-07-15T08:18:58Z,2007-07-15T09:31:04Z
도전1000곡,2007-07-22T08:27:36Z,2007-07-22T09:35:34Z
도전1000곡,2007-07-29T08:25:05Z,2007-07-29T09:35:20Z
도전1000곡,2007-08-05T08:26:25Z,2007-08-05T09:36:35Z
도전1000곡,2007-08-12T08:26:18Z,2007-08-12T09:36:52Z
도전1000곡,2007-08-19T08:27:39Z,2007-08-19T09:36:59Z
도전1000곡,2007-08-26T08:25:23Z,2007-08-26T09:36:58Z
도전1000곡,2007-09-02T08:28:08Z,2007-09-02T09:40:24Z
도전1000곡,2007-09-09T08:26:14Z,2007-09-09T09:38:52Z
도전1000곡,2007-09-16T08:25:44Z,2007-09-16T09:38:26Z
도전1000곡,2007-09-30T08:22:09Z,2007-09-30T09:37:58Z
도전1000곡,2007-10-07T08:21:00Z,2007-10-07T09:37:29Z
도전1000곡,2007-10-14T08:22:56Z,2007-10-14T09:36:27Z
도전1000곡,2007-10-21T08:23:06Z,2007-10-21T09:35:32Z
도전1000곡,2007-10-28T08:22:37Z,2007-10-28T09:37:16Z
도전1000곡,2007-11-04T08:24:29Z,2007-11-04T09:38:35Z
도전1000곡,2007-11-11T08:24:37Z,2007-11-11T09:37:09Z
도전1000곡,2007-11-18T08:21:52Z,2007-11-18T09:34:47Z
도전1000곡,2007-11-25T08:24:38Z,2007-11-25T09:39:18Z
도전1000곡,2007-12-02T08:24:26Z,2007-12-02T09:37:07Z
도전1000곡,2007-12-09T08:23:12Z,2007-12-09T09:37:39Z
도전1000곡,2007-12-16T08:22:55Z,2007-12-16T09:35:17Z
도전1000곡,2007-12-23T08:24:37Z,2007-12-23T09:37:18Z
도전1000곡,2007-12-30T08:17:52Z,2007-12-30T09:35:35Z
도전1000곡,2008-01-06T08:25:10Z,2008-01-06T09:37:10Z
도전1000곡,2008-01-13T08:23:51Z,2008-01-13T09:37:10Z
도전1000곡,2008-01-20T08:24:35Z,2008-01-20T09:36:59Z
도전1000곡,2008-01-27T08:23:21Z,2008-01-27T09:35:43Z
도전1000곡,2008-02-03T08:23:00Z,2008-02-03T09:36:59Z
도전1000곡,2008-02-17T08:23:00Z,2008-02-17T09:36:48Z
도전1000곡,2008-02-24T08:21:57Z,2008-02-24T09:37:09Z
도전1000곡,2008-03-02T08:23:45Z,2008-03-02T09:37:11Z
도전1000곡,2008-03-09T08:24:01Z,2008-03-09T09:36:35Z
도전1000곡,2008-03-16T08:23:18Z,2008-03-16T09:38:18Z
도전1000곡,2008-03-23T08:25:04Z,2008-03-23T09:39:30Z
도전1000곡,2008-03-30T08:26:23Z,2008-03-30T09:38:58Z
도전1000곡,2009-08-30T08:07:08Z,2009-08-30T09:28:25Z
도전1000곡,2009-09-06T08:05:58Z,2009-09-06T09:27:18Z
도전1000곡,2009-09-13T08:06:14Z,2009-09-13T09:27:33Z
도전1000곡,2009-09-20T08:05:12Z,2009-09-20T09:27:26Z
도전1000곡,2009-09-27T08:04:32Z,2009-09-27T09:25:43Z
도전1000곡,2009-10-11T08:07:31Z,2009-10-11T09:28:17Z
도전1000곡,2009-10-18T08:07:47Z,2009-10-18T09:28:11Z
도전1000곡,2009-10-25T08:05:45Z,2009-10-25T09:25:22Z
도전1000곡,2009-11-01T08:04:46Z,2009-11-01T09:24:36Z
도전1000곡,2009-11-08T08:05:38Z,2009-11-08T09:25:59Z
도전1000곡,2009-11-15T07:58:28Z,2009-11-15T09:18:40Z
도전1000곡,2009-11-22T08:06:47Z,2009-11-22T09:26:32Z
도전1000곡,2009-11-29T08:07:21Z,2009-11-29T09:27:39Z
도전1000곡,2009-12-06T08:06:11Z,2009-12-06T09:24:12Z
도전1000곡,2009-12-13T08:04:11Z,2009-12-13T09:24:56Z
도전1000곡,2009-12-20T08:07:26Z,2009-12-20T09:25:38Z
도전1000곡,2009-12-27T08:08:14Z,2009-12-27T09:28:43Z
도전1000곡,2010-01-03T08:06:29Z,2010-01-03T09:25:34Z
도전1000곡,2010-01-10T08:05:37Z,2010-01-10T09:25:40Z
도전1000곡,2010-01-17T08:05:31Z,2010-01-17T09:26:01Z
도전1000곡,2010-01-24T08:06:01Z,2010-01-24T09:27:05Z
도전1000곡,2010-01-31T08:06:54Z,2010-01-31T09:25:04Z
도전1000곡,2010-02-07T08:03:28Z,2010-02-07T09:23:48Z
도전1000곡,2010-02-14T07:58:25Z,2010-02-14T09:18:34Z
도전1000곡,2010-03-07T08:04:29Z,2010-03-07T09:25:18Z
도전1000곡,2010-03-14T08:06:05Z,2010-03-14T09:25:31Z
도전1000곡,2010-04-11T08:05:04Z,2010-04-11T09:25:33Z
도전1000곡,2010-05-02T08:05:20Z,2010-05-02T09:25:08Z
도전1000곡,2010-05-09T08:05:13Z,2010-05-09T09:24:26Z
도전1000곡,2010-05-16T08:03:39Z,2010-05-16T09:24:04Z
도전1000곡,2010-05-23T08:05:44Z,2010-05-23T09:26:08Z
도전1000곡,2010-05-30T08:14:49Z,2010-05-30T09:24:52Z
도전1000곡,2010-06-13T08:02:57Z,2010-06-13T09:22:44Z
도전1000곡,2010-06-20T08:08:31Z,2010-06-20T09:25:49Z
도전1000곡,2010-06-27T08:06:15Z,2010-06-27T09:26:03Z
도전1000곡,2010-07-04T08:05:00Z,2010-07-04T09:24:54Z
도전1000곡,2010-07-11T08:05:24Z,2010-07-11T09:25:39Z
도전1000곡,2010-07-18T08:04:45Z,2010-07-18T09:24:24Z
도전1000곡,2010-07-25T08:06:13Z,2010-07-25T09:25:43Z
도전1000곡,2010-08-01T08:06:32Z,2010-08-01T09:25:33Z
도전1000곡,2010-08-08T08:07:35Z,2010-08-08T09:25:55Z
도전1000곡,2010-08-15T07:49:46Z,2010-08-15T09:21:16Z
도전1000곡,2010-08-22T08:07:59Z,2010-08-22T09:29:18Z
도전1000곡,2010-08-29T08:07:16Z,2010-08-29T09:27:58Z
도전1000곡,2010-09-05T08:05:19Z,2010-09-05T09:25:05Z
도전1000곡,2010-09-12T08:06:44Z,2010-09-12T09:27:45Z
도전1000곡,2010-09-19T08:05:39Z,2010-09-19T09:25:45Z
도전1000곡,2010-10-03T08:07:25Z,2010-10-03T09:27:03Z
도전1000곡,2010-10-10T08:07:28Z,2010-10-10T09:28:00Z
도전1000곡,2010-10-17T08:06:43Z,2010-10-17T09:26:49Z
도전1000곡,2010-10-24T08:06:49Z,2010-10-24T09:26:51Z
도전1000곡,2010-10-31T08:06:05Z,2010-10-31T09:26:43Z
도전1000곡,2010-11-07T08:06:40Z,2010-11-07T09:31:25Z
도전1000곡,2010-11-14T08:06:03Z,2010-11-14T09:25:59Z
도전1000곡,2010-11-21T08:03:44Z,2010-11-21T09:27:27Z
도전1000곡,2010-11-28T08:05:42Z,2010-11-28T09:25:38Z
도전1000곡,2010-12-05T08:04:46Z,2010-12-05T09:24:34Z
도전1000곡,2010-12-12T08:06:12Z,2010-12-12T09:26:40Z
도전1000곡,2010-12-19T08:05:13Z,2010-12-19T09:26:49Z
도전1000곡,2010-12-26T08:05:20Z,2010-12-26T09:25:56Z
도전1000곡,2011-01-02T08:05:06Z,2011-01-02T09:25:26Z
도전1000곡,2011-01-09T08:06:37Z,2011-01-09T09:26:11Z
도전1000곡,2011-01-16T08:05:07Z,2011-01-16T09:25:52Z
도전1000곡,2011-01-23T08:06:05Z,2011-01-23T09:26:47Z
도전1000곡,2011-01-30T08:06:21Z,2011-01-30T09:26:38Z
도전1000곡,2011-02-06T08:04:12Z,2011-02-06T09:24:40Z
도전1000곡,2011-02-13T08:05:47Z,2011-02-13T09:27:28Z
도전1000곡,2011-02-20T08:10:08Z,2011-02-20T09:29:53Z
도전1000곡,2011-02-27T08:07:13Z,2011-02-27T09:27:41Z
도전1000곡,2011-03-06T08:04:21Z,2011-03-06T09:25:07Z
도전1000곡,2011-03-13T08:06:37Z,2011-03-13T09:26:48Z
도전1000곡,2011-03-20T08:06:20Z,2011-03-20T09:27:20Z
