SWL1,SWL2,SWL3,SWL4,SWL5,SCA1,SCA2,SCA3,SCA4,SCA5,SCA6,SCB7,SCB8,SCB9,SCB10,SCB11,gender,ageyear,educ,income
2,2,2,2,1,3,4,2,3,2,2,3,4,3,4,4,2,28,4,3
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,38,2,2
4,4,5,5,3,2,2,4,2,2,1,2,3,2,3,4,2,52,6,7
3,3,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2,37,4,5
3,3,3,2,1,2,2,3,3,3,3,4,4,4,4,3,1,55,1,2
3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,26,4,2
3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,33,2,2
2,3,3,4,2,2,3,4,3,3,2,2,2,2,3,3,1,51,6,9
2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,3,1,58,4,1
2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,24,4,3
3,3,4,4,4,3,4,3,3,3,3,3,2,2,2,3,2,29,4,4
3,4,4,4,2,4,4,3,4,4,3,4,4,4,4,2,1,44,4,5
2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,2,2,24,4,5
3,4,3,4,2,4,4,4,4,4,3,5,5,3,3,3,2,28,4,5
3,4,4,4,3,4,4,3,3,4,4,4,3,3,3,2,2,50,6,9
4,5,4,5,3,2,4,4,3,4,4,4,5,3,5,4,1,24,3,9
3,3,3,2,2,4,3,3,4,3,3,3,4,3,3,3,1,50,4,9
2,3,3,2,2,4,4,4,4,3,4,4,4,4,4,4,1,45,4,6
3,4,5,4,2,1,1,1,1,1,1,3,3,2,4,4,2,30,4,3
2,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,1,50,4,6
3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,1,51,6,9
3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,47,4,10
4,4,3,4,4,3,3,4,3,4,3,3,3,3,3,3,1,35,4,4
3,3,2,2,3,2,3,2,2,3,3,3,2,3,3,3,1,55,4,4
3,3,2,2,1,2,2,2,2,3,3,3,3,3,3,3,1,50,2,3
3,4,3,3,3,3,4,4,3,2,4,3,3,4,3,3,1,37,4,8
3,3,3,2,2,3,2,2,2,2,2,2,3,3,2,3,2,45,2,5
3,3,3,4,2,2,3,3,2,2,2,3,3,2,4,3,1,18,2,5
2,4,4,3,2,2,2,2,3,2,2,2,2,2,3,3,2,24,4,3
3,2,2,2,2,3,4,3,2,2,2,3,3,3,3,3,1,28,4,2
3,3,3,4,2,3,4,3,3,3,3,3,4,3,3,3,1,28,4,6
2,1,1,2,1,4,3,4,3,2,3,3,4,3,2,3,1,52,4,7
2,2,2,2,1,3,2,3,2,2,2,3,2,2,2,3,1,39,4,4
1,2,3,2,1,2,3,3,1,1,2,3,3,3,3,3,1,42,4,2
4,3,4,3,4,4,4,4,4,4,4,5,5,5,5,1,2,51,2,4
1,1,2,1,4,2,2,2,3,2,2,2,2,2,2,2,1,38,2,3
2,2,2,2,1,4,4,4,4,4,4,3,3,3,3,3,2,38,4,9
3,3,3,3,2,1,3,4,2,1,1,4,4,3,3,4,1,26,4,5
3,3,3,3,3,3,3,4,2,4,4,4,4,4,4,2,2,31,4,5
2,3,1,1,1,4,4,4,5,4,4,2,5,3,3,2,2,26,4,4
5,4,4,4,1,1,3,5,1,1,1,4,4,4,4,2,2,22,3,4
2,3,3,2,1,4,3,3,4,4,3,4,4,4,4,3,2,27,4,6
2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,2,1,48,5,4
4,4,3,2,3,3,4,3,3,3,3,4,4,3,3,4,1,52,4,6
2,2,2,2,1,4,4,3,3,2,3,3,2,2,2,3,2,50,4,1
3,2,2,2,1,5,4,3,3,3,4,4,3,1,1,2,2,55,1,3
4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,2,28,4,3
4,4,5,3,4,1,1,1,1,1,1,1,1,1,1,1,2,27,4,4
3,2,2,2,1,4,5,4,4,5,3,4,4,4,4,4,1,52,2,4
3,4,4,3,4,4,3,4,4,3,3,3,3,4,4,3,2,28,4,2
3,2,3,2,1,2,3,2,2,1,2,3,3,3,3,2,1,34,4,5
3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,1,40,4,3
2,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,1,52,4,7
1,1,1,1,1,3,3,3,4,4,4,3,2,2,2,4,1,46,2,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,22,3,10
3,3,4,3,3,2,3,3,3,3,3,3,4,4,3,3,1,27,5,2
3,4,4,2,2,3,3,4,4,2,3,2,2,3,3,2,1,19,3,6
2,2,3,2,1,2,2,3,2,3,2,3,2,2,3,2,1,52,4,7
2,4,4,3,3,1,1,1,2,1,1,5,5,4,1,1,1,17,1,2
3,4,4,3,3,4,4,4,2,4,3,4,4,4,4,4,2,22,3,1
4,4,4,4,4,3,4,4,4,2,3,3,4,3,3,3,1,21,3,5
3,4,4,3,3,3,3,3,3,3,2,2,2,2,4,3,1,56,4,4
3,3,3,4,2,3,3,2,2,2,3,4,3,4,3,3,2,55,4,4
3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,40,4,6
4,4,4,4,4,2,4,4,2,3,2,2,4,4,1,2,1,29,4,5
2,2,3,3,3,3,3,4,3,3,3,3,4,3,3,3,1,51,4,4
3,3,4,4,4,3,3,4,4,4,4,4,3,3,3,4,1,31,4,6
2,3,3,2,2,3,3,3,3,2,2,4,4,3,3,2,1,46,4,9
1,2,2,4,1,5,4,4,5,5,5,4,2,4,3,1,2,22,4,4
3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,26,4,4
2,3,3,4,1,3,3,4,4,3,3,4,3,4,4,3,2,25,4,9
3,3,4,4,3,2,3,2,2,1,2,2,1,2,2,4,1,46,4,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,14,1,10
3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,2,24,4,8
3,3,3,3,2,4,4,4,2,2,4,3,4,4,4,2,2,46,6,4
2,2,2,2,1,4,3,4,4,4,4,4,4,4,4,4,2,23,4,4
2,2,2,4,3,4,4,4,4,4,4,4,4,4,4,3,2,24,4,3
2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,46,4,4
2,3,2,2,1,3,4,3,2,2,4,3,4,3,4,3,1,27,4,4
4,4,4,3,2,4,4,2,2,2,4,4,4,2,2,2,2,21,3,3
3,2,3,3,2,3,4,3,3,4,2,3,3,3,2,4,1,16,1,4
2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,35,3,3
3,2,4,3,3,3,3,3,3,2,3,3,4,3,3,2,1,24,3,4
2,3,2,2,1,4,4,4,3,2,3,3,4,3,3,2,2,51,4,6
3,3,3,2,2,3,3,3,3,3,3,4,4,3,3,2,2,19,3,10
3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,2,1,44,6,2
4,4,3,4,4,3,2,4,4,3,4,4,4,3,3,4,1,42,4,5
2,3,3,2,2,4,4,4,4,2,2,4,2,2,4,2,1,57,4,4
2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,1,28,4,2
3,3,3,3,2,4,3,3,3,3,2,4,2,2,2,4,2,44,4,6
3,4,3,3,4,3,4,3,4,4,3,3,4,4,4,4,1,34,4,4
1,1,1,2,1,4,4,3,3,4,4,4,3,3,2,2,2,24,3,6
3,2,1,2,1,4,4,3,3,4,4,4,3,4,3,2,1,46,4,5
3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,2,2,27,4,9
3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,34,4,4
4,3,4,4,2,4,3,3,1,4,4,4,4,4,2,2,2,24,5,2
3,4,4,3,4,2,3,3,3,2,2,3,3,3,3,3,1,19,3,7
4,3,3,2,1,4,4,2,2,3,2,4,4,5,3,4,1,23,3,2
4,5,5,4,5,4,4,3,5,5,4,5,3,4,4,3,2,15,1,6
3,3,3,3,4,3,4,3,2,2,2,2,2,2,2,2,2,17,1,10
1,1,1,1,1,4,4,4,3,3,3,4,4,4,4,2,2,35,4,3
3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,1,20,3,10
3,3,4,3,2,1,4,4,4,3,3,3,4,4,3,3,1,31,5,2
2,3,3,2,1,5,4,4,3,4,4,5,4,4,4,1,2,19,3,3
2,2,2,2,3,2,2,2,4,2,1,1,1,1,1,1,2,19,3,2
5,3,2,2,5,4,4,4,4,4,4,4,4,4,4,4,1,18,2,4
4,4,3,3,2,4,4,3,2,1,1,2,3,3,3,4,2,18,1,3
3,3,3,3,3,3,3,2,2,3,3,4,4,3,3,3,2,47,4,6
2,3,4,3,2,4,4,2,3,2,2,3,2,3,3,3,2,25,4,4
2,3,2,2,2,4,3,3,5,4,4,5,4,5,5,2,2,20,3,3
3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,1,44,4,5
3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,3,1,20,3,7
2,3,4,2,4,4,4,5,3,3,5,4,4,4,4,4,2,19,2,2
3,3,4,4,2,4,3,4,3,2,2,4,4,4,3,2,1,52,4,4
3,3,4,4,4,3,4,3,3,4,3,4,4,4,4,4,1,40,4,2
3,2,3,2,3,3,4,2,2,3,2,2,2,2,2,1,2,22,4,5
2,5,4,3,4,2,4,4,4,4,1,4,5,1,1,1,2,19,2,2
2,2,2,2,2,4,4,3,4,4,3,4,4,3,4,2,2,17,1,6
4,4,4,4,2,4,4,3,2,3,3,3,4,4,3,3,2,27,4,4
1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,2,1,45,4,3
3,3,3,4,2,4,4,5,3,4,4,5,5,5,4,2,2,40,4,6
3,3,2,2,2,3,3,3,3,2,2,3,4,2,3,3,1,48,2,2
3,3,4,2,2,2,2,4,3,3,3,3,3,3,3,3,1,57,4,7
3,1,4,3,1,4,3,3,2,1,2,1,4,4,3,3,1,34,4,6
3,3,3,4,3,2,2,2,3,3,2,3,3,3,3,2,1,56,4,5
3,2,4,4,4,4,4,3,4,5,4,4,4,4,4,4,1,49,6,6
1,2,3,2,1,3,2,3,4,2,2,3,4,3,2,2,1,57,4,5
2,2,2,3,2,4,4,3,3,2,3,4,3,4,3,3,1,40,2,3
3,4,4,2,2,4,2,1,3,4,2,4,1,2,3,2,2,23,4,5
1,1,1,2,1,3,3,2,3,4,3,3,3,3,3,3,1,40,4,5
4,3,3,3,2,3,4,3,3,4,4,4,3,3,3,3,1,52,4,9
3,3,3,3,2,4,4,4,4,3,2,4,4,4,4,2,2,22,4,5
3,3,4,3,2,3,3,2,3,3,3,3,3,3,3,3,1,56,4,5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,57,4,3
1,1,1,2,1,2,4,4,4,2,2,5,4,4,4,2,1,55,2,5
2,3,3,2,2,2,3,3,3,2,2,3,3,3,2,2,2,22,3,6
2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,3,1,31,4,4
4,5,4,5,5,4,5,5,3,5,5,4,5,5,4,5,1,31,6,9
4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,2,32,4,5
2,3,3,3,2,2,3,2,3,2,2,3,2,3,3,3,1,52,4,3
3,4,4,3,2,3,4,2,2,2,2,3,2,2,2,2,1,50,4,7
2,2,2,3,1,4,4,4,5,4,4,5,5,5,3,2,2,19,3,2
3,3,3,3,3,3,3,2,4,4,3,3,4,4,4,3,1,34,4,3
2,3,3,2,1,4,5,5,5,5,5,5,5,5,5,2,2,29,4,9
2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,50,4,3
2,2,1,2,1,2,3,2,3,3,2,3,2,3,3,2,1,58,4,4
3,3,3,2,2,4,4,3,2,2,3,4,4,4,3,2,2,30,3,6
3,3,3,3,2,4,4,4,4,4,3,3,4,3,3,2,2,33,4,3
3,3,3,2,2,3,2,3,3,4,4,4,4,4,4,2,2,48,4,4
3,3,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,46,6,6
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,40,4,6
2,1,3,2,1,4,4,3,5,5,4,5,5,5,3,3,2,22,2,2
3,2,2,2,2,3,4,3,3,4,3,3,4,3,3,3,2,30,4,10
2,1,1,1,1,2,3,2,1,3,2,2,2,3,3,3,1,54,4,4
3,3,4,4,3,3,2,3,2,3,2,3,2,3,2,3,1,41,2,1
1,1,1,1,1,4,4,3,3,3,3,3,3,3,3,3,2,40,4,5
2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,31,4,7
4,4,4,3,3,2,3,2,3,3,3,4,3,2,4,4,2,24,4,2
4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,59,4,3
2,2,2,2,1,3,3,4,3,3,4,4,4,4,4,3,1,30,4,2
3,3,4,4,2,3,3,2,4,3,2,3,2,2,3,3,2,22,3,1
1,1,1,1,1,2,2,2,2,2,2,2,4,4,2,2,2,46,4,5
3,4,4,4,3,4,3,3,4,4,3,3,3,3,3,3,2,19,2,5
4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,1,49,4,6
3,4,4,4,3,3,2,2,3,3,3,3,3,3,3,2,1,58,6,6
3,3,4,3,2,2,2,2,2,3,2,2,3,3,2,2,1,23,2,2
2,2,2,1,1,2,2,3,2,2,1,2,2,3,3,3,1,51,4,3
3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,27,4,6
3,3,3,3,2,2,4,4,2,1,1,2,2,2,4,3,1,44,6,7
3,3,3,3,1,2,3,4,4,3,3,3,3,4,3,3,1,28,4,3
3,3,3,3,2,2,3,3,4,2,2,4,3,3,4,2,2,17,1,6
4,4,5,3,2,4,3,3,4,2,1,3,3,3,3,3,1,22,3,7
3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,2,45,2,3
2,2,3,1,3,2,2,2,4,4,2,3,3,2,4,3,2,20,3,5
1,2,3,2,1,3,3,3,2,2,3,1,1,2,2,3,1,35,6,5
3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,1,43,2,6
2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,34,6,6
3,3,4,2,2,3,2,3,4,4,4,3,2,3,3,3,2,19,3,3
3,3,4,5,2,2,2,2,1,1,1,3,4,4,4,1,2,38,4,5
2,2,3,2,1,4,4,4,4,4,3,3,3,2,3,2,2,29,4,6
2,3,3,3,2,3,4,4,3,2,2,3,4,4,5,4,1,32,4,2
3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,21,3,6
3,4,4,3,2,2,2,2,3,2,2,3,4,3,4,3,2,28,6,3
3,2,3,3,1,2,2,2,1,2,2,2,2,2,2,3,1,49,4,8
3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,1,42,2,5
3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,31,4,4
2,3,2,2,1,3,4,3,4,4,4,4,4,4,4,2,2,21,3,1
3,4,3,3,3,3,4,3,3,4,3,3,4,2,3,3,2,22,4,4
2,3,2,1,1,4,4,4,4,5,5,4,4,5,3,3,2,31,4,3
2,3,3,4,2,4,4,4,4,4,4,5,5,5,5,2,2,31,4,4
1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,3,2,54,4,4
4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,2,2,51,4,7
3,3,3,3,2,3,4,4,3,2,3,4,4,4,3,2,1,37,4,3
4,4,5,4,3,4,3,3,3,4,4,4,4,3,4,3,1,34,4,3
3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,1,34,4,3
3,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,48,4,5
3,3,4,3,3,2,3,3,2,2,3,3,3,3,3,3,2,30,2,8
2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,2,35,4,8
2,2,2,2,2,4,4,4,3,2,2,3,2,2,2,2,1,54,2,7
1,3,3,3,2,4,4,2,2,3,1,3,4,4,4,3,2,23,3,3
3,3,4,2,3,3,2,2,4,3,3,3,3,1,1,3,2,24,4,8
3,4,4,3,4,2,4,4,2,2,2,3,2,2,3,1,2,28,5,5
4,4,4,3,2,2,2,1,2,2,1,2,3,2,1,3,1,34,4,6
4,3,3,5,3,2,4,4,4,4,4,2,4,5,4,3,1,25,4,7
2,2,4,3,2,4,3,3,3,4,3,1,1,1,2,3,2,30,4,5
3,2,3,2,2,4,3,3,4,4,3,4,4,4,3,2,2,46,2,5
4,4,4,3,3,4,4,4,2,3,2,5,4,2,3,2,2,33,4,3
2,3,4,2,2,2,4,4,4,4,3,5,4,4,2,3,2,22,2,7
3,3,3,2,2,3,3,2,3,3,3,2,3,3,3,3,2,27,4,6
4,4,4,4,4,5,4,4,4,2,4,4,4,4,4,4,1,30,4,2
2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,26,4,5
3,2,2,2,1,2,3,2,3,2,2,2,2,2,3,3,1,24,2,4
2,2,2,3,1,4,5,3,2,3,4,1,3,3,3,3,1,24,3,3
2,3,3,4,2,4,2,2,2,4,4,4,4,4,3,2,2,22,3,6
3,4,3,3,4,3,3,4,3,4,3,3,4,3,4,4,1,30,4,5
2,1,2,3,2,3,4,4,4,3,4,5,4,4,5,3,1,31,2,3
3,3,3,3,2,2,3,3,2,3,3,4,3,2,3,3,2,28,4,2
4,3,2,3,2,4,4,3,2,2,4,3,3,3,3,2,2,22,3,4
5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,37,4,5
3,3,2,4,2,2,4,2,3,2,3,4,3,2,4,2,1,27,4,4
3,3,3,3,2,4,4,2,3,3,3,3,2,2,2,2,2,47,4,7
4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,34,6,8
4,4,4,4,3,3,4,4,4,4,4,2,3,3,3,2,2,35,4,6
2,2,3,3,2,2,3,2,3,2,2,3,2,1,2,1,1,22,3,3
2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,2,27,4,10
3,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,1,28,4,5
2,3,1,2,1,4,3,2,3,4,4,2,2,1,2,1,2,34,4,4
3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,4,1,38,6,5
4,4,4,4,3,3,3,2,2,3,2,2,3,3,4,3,2,43,4,5
3,4,4,3,3,3,3,2,1,1,1,3,1,2,3,1,2,27,4,4
1,1,1,3,1,4,3,3,4,4,4,3,4,4,2,3,2,43,2,5
3,3,4,4,3,4,3,3,2,2,2,4,4,4,5,3,1,29,4,3
3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,30,4,2
4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,36,6,5
2,2,2,2,2,4,2,2,2,2,2,3,2,2,2,3,2,19,3,2
2,2,2,1,1,4,3,2,3,1,2,3,2,3,3,2,1,40,4,10
3,5,5,4,4,2,2,2,2,1,2,2,1,2,2,3,1,36,6,5
3,3,3,4,2,2,3,3,3,2,2,2,3,2,2,2,1,37,4,4
3,4,4,4,3,4,4,5,4,4,3,4,4,5,4,4,2,19,2,6
3,3,4,2,4,1,2,2,3,2,2,4,4,5,3,4,1,15,1,3
4,4,5,4,4,4,3,4,4,5,4,4,4,3,3,4,1,29,4,6
2,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,2,29,4,4
3,3,3,3,3,3,3,3,2,3,4,3,3,3,4,3,2,22,3,6
2,2,2,2,2,4,3,2,2,3,2,4,4,3,4,3,1,21,2,4
3,4,4,2,2,3,4,2,2,3,2,4,1,1,2,4,2,19,3,7
3,2,3,3,2,3,4,4,4,3,4,3,4,2,3,2,2,23,4,2
3,4,3,3,2,3,4,3,3,3,4,3,4,3,3,4,2,29,4,5
2,1,1,2,1,4,2,4,4,4,2,2,2,4,2,2,2,18,1,3
3,3,3,4,2,4,4,4,4,4,4,3,3,3,3,2,1,18,3,4
3,4,4,3,3,2,2,2,3,3,2,4,3,2,3,3,2,23,3,5
4,4,4,4,5,2,4,4,4,3,1,5,5,5,5,2,1,17,1,10
5,5,5,1,1,5,5,5,1,1,1,5,1,1,1,1,2,29,2,4
4,4,4,4,2,4,4,4,4,5,4,4,4,4,4,4,2,18,1,3
3,4,4,4,3,2,2,3,3,2,2,4,3,3,4,4,1,24,3,7
3,3,3,3,4,2,2,2,1,1,1,1,3,3,3,3,2,24,4,1
3,3,4,3,3,4,4,4,2,2,2,4,4,3,4,4,2,15,1,5
4,4,4,4,2,4,4,4,4,4,4,3,3,3,4,2,2,18,3,8
4,5,5,4,2,4,3,4,2,3,2,4,5,3,4,2,1,19,3,7
2,2,3,2,1,2,4,3,4,4,3,5,4,4,2,2,1,19,2,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,19,3,4
2,2,2,3,2,4,4,4,4,4,4,4,3,4,4,2,2,19,3,1
3,1,1,2,1,3,4,2,4,5,2,4,2,1,3,2,1,15,1,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,15,1,3
2,2,2,2,1,4,3,3,2,3,3,3,3,3,3,3,2,44,4,3
4,4,4,4,2,1,1,1,1,1,1,3,3,3,3,3,1,44,6,5
3,4,4,4,2,4,4,3,4,3,3,4,4,3,3,3,2,18,3,4
2,2,3,4,1,2,4,2,3,3,1,4,4,2,1,3,2,18,1,4
3,4,4,4,2,3,3,2,2,3,3,3,2,1,4,3,1,42,4,5
3,4,4,2,2,4,4,5,3,3,4,4,4,5,3,2,2,17,2,4
4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,2,2,16,1,2
4,4,4,3,3,4,4,3,4,4,3,3,4,4,3,3,2,18,2,4
3,3,3,2,2,3,3,3,4,4,3,3,3,3,3,3,2,17,1,5
3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,18,2,8
4,4,3,4,4,2,3,2,3,3,3,3,3,3,3,3,2,44,4,5
4,4,4,2,4,3,4,2,1,2,3,4,4,4,4,2,2,19,3,5
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,15,1,3
3,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,19,3,7
4,5,4,5,3,2,2,2,2,1,1,1,1,1,1,1,1,16,1,2
2,2,2,3,1,4,4,4,4,5,4,4,2,2,2,2,2,19,3,3
4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,16,2,5
3,3,2,2,4,2,2,2,2,2,2,4,2,3,3,3,1,19,3,2
3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,19,3,10
3,2,4,2,1,4,3,4,4,4,2,5,5,3,5,2,2,14,1,3
3,3,4,2,2,2,3,4,4,4,4,3,4,4,2,2,2,19,3,2
4,4,5,4,4,3,4,3,3,3,3,3,3,3,4,3,2,18,2,4
3,3,4,3,2,3,4,4,4,3,3,5,3,3,5,3,2,15,1,5
2,3,2,2,1,2,2,2,4,4,4,4,4,4,4,2,2,18,2,6
4,2,3,3,2,2,4,3,3,4,4,4,3,4,4,2,2,18,1,3
3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,3,1,18,1,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,2,9
2,3,3,4,2,4,3,3,2,4,3,4,4,2,3,2,1,18,2,1
4,4,5,4,4,4,4,5,5,5,5,5,5,5,1,1,2,16,1,9
2,2,3,1,1,2,4,4,2,3,2,4,4,4,2,3,1,17,1,2
2,2,2,2,1,3,4,4,4,4,4,4,3,4,2,2,2,19,3,4
3,3,4,3,2,4,3,3,4,3,3,4,3,3,3,2,1,15,1,5
3,3,4,3,2,2,3,3,3,3,3,4,3,4,3,2,1,15,1,3
4,5,5,4,2,2,1,1,1,1,2,4,4,4,2,2,2,19,3,6
4,3,2,2,2,4,4,3,3,4,3,3,3,3,3,4,1,18,2,3
2,2,2,3,1,4,4,2,4,4,2,5,4,3,3,2,2,18,1,6
3,3,4,3,3,3,4,3,2,3,3,3,3,3,3,4,2,25,4,4
2,3,2,2,2,4,3,3,4,4,4,5,4,4,4,2,2,27,4,5
2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,42,6,4
5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,18,1,6
2,2,2,2,2,3,4,4,3,3,2,4,4,3,4,3,1,58,6,2
3,4,4,4,3,3,2,2,1,3,4,4,4,3,3,4,1,16,1,10
3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,1,56,4,9
3,3,4,2,4,1,2,3,2,2,3,3,2,2,2,4,1,29,3,10
2,2,2,2,1,2,2,3,2,1,2,1,3,2,2,2,1,55,2,1
2,2,3,2,1,4,3,4,4,3,5,4,4,4,5,4,1,43,4,6
3,3,4,3,2,3,4,3,3,3,2,3,3,4,3,3,1,45,4,7
2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,1,33,4,4
2,3,4,3,2,4,4,3,4,4,3,4,4,3,3,2,2,20,3,6
3,3,2,3,1,4,4,3,3,3,2,3,3,3,3,3,1,44,4,5
3,2,2,2,1,2,3,3,3,3,3,3,3,3,3,3,1,36,4,5
2,3,2,3,1,3,4,2,3,4,3,3,3,3,3,3,2,22,3,10
4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,46,4,4
4,4,3,3,4,3,3,4,4,4,3,4,4,3,4,4,1,57,4,9
2,2,2,2,1,4,3,3,3,4,3,3,2,2,2,3,1,59,4,3
2,2,2,4,2,4,4,2,2,2,2,2,2,4,4,4,2,26,3,5
1,2,2,2,1,4,3,3,3,2,2,3,2,2,3,4,2,47,2,3
3,3,2,2,2,4,3,3,3,3,3,3,3,3,3,3,2,28,2,3
3,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,2,18,1,4
3,3,4,4,3,2,3,4,2,2,1,3,2,1,4,2,1,19,3,8
3,3,3,4,3,4,3,3,4,3,3,3,4,4,3,3,2,41,4,5
1,1,1,1,1,4,4,4,4,4,4,4,4,3,3,2,2,28,4,3
3,3,4,2,3,2,2,2,2,3,3,4,3,4,2,3,1,19,3,8
2,1,3,4,3,4,5,5,3,2,2,4,4,4,5,3,2,24,3,3
2,2,3,2,1,3,3,3,3,3,3,3,3,3,3,3,2,19,3,5
3,3,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,46,6,8
3,3,4,3,4,3,2,3,3,4,3,3,3,2,3,2,1,15,1,10
2,3,3,1,2,2,2,3,2,3,3,2,2,4,3,4,2,17,4,4
